st_teff,st_rad,st_met
6651.0,1.49,0.0
5628.0,0.911,-0.22
4953.0,0.726,-0.02
4983.0,0.805573,-0.02
5878.0,0.998,-0.02
5623.0,0.95685,0.21
4195.0,0.675093,-0.02
6200.0,1.58,0.01
5726.0,0.838,-0.18
3876.0,0.547805,-0.02
6038.0,1.744,0.34
5245.0,0.79,-0.02
5731.0,1.445,0.269
5596.0,0.837,-0.02
6338.0,0.847,-0.8
5627.0,0.815,-0.48
3885.0,0.502,-0.02
5596.0,1.735,-0.02
5801.8,1.79,-0.02
3484.0,0.393,0.15
5858.0,0.903,-0.2
3623.0,0.348,0.068
5596.0,0.92,-0.02
5482.0,0.89,0.05
5331.0,0.76,-0.02
5621.0,0.9715,0.026
4558.0,0.63,-0.23
3769.0,0.51,-0.02
4700.0,0.7761,-0.2
5460.0,0.818,-0.1
4213.0,0.675,-0.098
4929.0,0.719,-0.07
5093.0,0.784,0.12
5125.0,0.856,0.15
2566.0,0.1192,-0.02
4175.0,0.716312,-0.02
5773.9,1.21,-0.02
5374.0,0.815924,-0.02
4797.0,0.653,-0.46
5790.0,1.43,-0.02
3810.0,0.54,-0.1
4500.0,0.69,0.02
5627.0,1.116,-0.02
6215.0,0.957,-0.3
5851.0,0.918,-0.04
5106.0,0.7911,0.073
4841.0,0.81,-0.02
3231.0,0.241857,-0.02
4612.0,0.625,-0.02
6106.0,1.656,0.1
4996.0,1.95,-0.02
5982.0,0.96,-0.04
5943.0,1.13,0.12
4456.0,0.63,-0.02
6116.0,1.13,0.14
5495.0,0.985,0.12
4928.0,1.022,-0.221
5185.0,0.803827,-0.05
5380.72,0.817705,-0.143
5726.0,1.058,-0.238
3769.0,0.56,0.4
5596.0,0.936,-0.02
5595.4,1.06702,-0.02
5888.0,1.097,-0.1
4992.0,0.72,-0.24
5596.0,0.257,-0.02
3419.0,0.377509,-0.02
3700.0,0.542573,-0.02
5255.0,0.82,0.22
5569.0,0.829,-0.08
5315.0,0.87,0.0
6043.0,0.999,-0.04
3561.0,0.411,0.0
5621.0,0.783,-0.02
6299.0,1.167,0.21
5581.0,1.07,-0.02
5208.0,0.693,-0.38
5700.0,1.646,-0.02
5213.0,0.85,-0.09
4883.0,1.667,0.56
3560.0,0.544,-0.02
4736.0,0.63,-0.46
5701.0,1.05,0.27
5014.0,0.76,-0.05
5779.0,0.97,-0.08
4936.0,0.761,-0.08
5781.0,1.799,0.12
5997.0,1.574,-0.04
4603.0,0.751,-0.045
6205.0,1.689,-0.28
3681.0,0.512,0.07
5648.0,0.896,-0.43
4391.0,0.682,0.04
5983.0,1.07,-0.04
4970.0,1.806,0.32
4613.0,0.647,-0.02
3748.0,0.523113,-0.02
5889.0,1.17,-0.27
5596.0,0.73,-0.02
5545.0,1.014,-0.06
5507.0,0.9,0.06
6781.0,1.067,-0.58
5174.0,0.751,-0.12
3943.0,0.6113,0.332
5909.0,1.012,-0.02
5229.0,0.903,0.08
5945.0,1.274,0.01
4866.0,0.665,-0.47
6021.0,0.94,-0.02
5052.0,0.485,-0.02
6102.0,0.887,-0.38
4434.81,0.726565,-0.02
5967.0,1.17,-0.02
5501.0,0.918,0.02
5392.0,1.087,0.18
6361.0,1.47,-0.08
6290.0,1.09,-0.02
5343.0,0.885,0.44
4717.0,0.753,0.085
5149.0,0.791,-0.02
5881.0,1.0,-0.07
6090.0,1.19,0.08
5596.0,0.92,-0.02
5596.0,0.577,-0.02
6051.0,1.15,0.03
5881.0,1.294,0.16
5099.0,0.78,-0.01
6200.0,1.62,-0.02
5216.0,0.894,-0.02
5513.0,0.915,0.08
4888.0,0.880213,-0.02
6028.0,1.201,0.23
3810.0,0.54,-0.1
5137.0,0.8785,0.377
4720.0,0.712365,-0.06
5500.0,0.894,-0.02
5982.0,1.109202,0.16
4799.0,0.89,-0.02
6505.0,1.163,-0.12
5718.0,1.099,-0.06
5354.0,0.765,-0.18
5977.0,1.075,-0.1
5821.0,1.494,0.04
5614.0,0.827,-0.14
6210.0,1.32,0.01
8450.0,1.858,-0.059
3891.86,0.562607,-0.02
4369.0,0.66,-0.02
5505.0,0.873,-0.04
5418.0,0.840971,-0.02
4467.38,0.687025,-0.02
5044.0,0.7,-0.16
5356.0,0.861,0.09
5663.0,0.971,-0.02
5596.0,1.0849,-0.02
5943.0,1.7,0.19
5742.0,0.91,-0.12
6060.0,0.953,-0.14
5898.0,1.752,-0.01
5141.0,0.861,0.07
5831.0,0.873,-0.02
5178.0,0.778,-0.26
5426.0,0.88,-0.02
5413.0,0.85,-0.03
4700.0,0.778,0.11
5021.0,0.723259,-0.02
4856.0,0.705,0.0
6088.71,1.32375,-0.02
4508.0,0.68,-0.01
4922.0,0.823,0.2
5148.0,0.8,0.04
3765.0,0.644,-0.02
4003.0,0.56,-0.13
6382.7,1.76557,-0.02
5541.94,0.906761,-0.02
6003.0,1.15,0.09
5596.0,0.226,-0.18
5969.0,0.92,-0.02
5620.0,0.974,-0.32
5711.0,0.961,-0.03
5619.12,0.842301,-0.048
5692.0,0.909,-0.02
5618.0,1.79,-0.02
3200.0,0.259,0.11
5654.0,0.884,-0.02
5046.63,0.741147,-0.02
6119.0,1.03,-0.02
5431.0,0.884,-0.14
4880.0,0.622,-0.02
5376.0,0.792,-0.02
5742.22,1.17321,-0.39
5941.0,0.911,-0.14
5582.0,0.81,-0.02
5696.0,1.331,0.44
6223.0,1.31,0.0
5775.46,1.06221,-0.02
4173.0,18.939,0.06
5476.0,1.673,-0.56
6028.0,1.454,0.14
6188.0,1.524,0.44
5475.0,0.92,0.03
5982.0,0.96,-0.04
6001.0,1.367,-0.16
6474.0,1.26,-0.16
5710.0,1.258,-0.21
5543.0,0.813,-0.14
5019.0,0.778,0.33
6080.0,2.059,0.2
4696.7,1.0143,-0.02
5443.0,0.863922,-0.02
5772.0,0.901,0.0
3998.0,0.911,-0.08
5710.0,0.983,-0.03
5519.0,0.919,0.294
4648.0,0.594,-0.02
5679.0,0.924,0.23
5009.0,0.84,0.16
4935.0,0.82,-0.02
6096.0,1.435,0.11
4803.0,0.793235,-0.02
5328.97,0.943767,-0.02
5807.0,1.57,-0.02
5897.0,1.259,0.02
5596.0,0.276,-0.02
5719.98,1.08102,-0.02
6026.0,0.992,-0.36
4950.0,0.86,0.3
5754.0,0.96,0.2
6197.0,1.174,-0.02
5565.0,1.00018,-0.02
5934.0,1.0072,-0.05
3834.0,0.5,-0.02
5522.0,0.984,0.37
5835.0,0.869,-0.16
6118.0,1.16,0.0
4486.0,0.571,-0.02
6784.0,1.264,-0.46
5271.0,0.86,-0.06
6257.6,1.14,-0.02
4355.0,0.740712,-0.02
5790.0,1.269,-0.02
5080.0,0.898,0.31
3742.0,0.515547,-0.02
3841.0,0.535,-0.18
3211.0,0.313932,-0.02
5665.0,1.25,0.3
5573.0,0.81,-0.02
6438.0,1.135,-0.02
4938.0,1.221,-0.02
3724.0,0.57,0.2
6040.0,1.686,-0.44
5262.0,0.75,-0.44
6047.0,1.37,0.1
5851.0,1.115,-0.26
5890.0,1.608,0.1
6180.0,1.236,0.337
5620.0,0.85,0.07
5930.0,1.47,-0.02
5900.0,1.01,-0.02
5211.0,0.8,-0.02
6103.0,1.024,-0.26
6616.0,1.298,0.07
4225.0,0.693431,-0.02
5924.0,1.194,-0.02
5499.0,0.8521,-0.049
4432.0,0.90484,-0.02
5881.0,1.0,-0.07
5834.0,1.11,0.24
3582.0,0.458,0.18
3430.0,0.313,-0.27
5541.0,1.09,-0.02
5588.0,0.863,0.12
5333.0,0.828,-0.02
5508.0,1.988,0.1
4339.0,0.62,-0.18
6540.0,1.698,0.068
6194.0,1.129,0.21
5352.0,0.82,-0.06
4850.0,0.815,0.26
5808.0,1.54,-0.02
6077.0,1.072,0.21
5917.0,1.342,-0.02
5935.0,1.129,-0.02
5686.0,0.95,-0.02
6299.0,0.983,-0.32
5808.0,1.011,-0.03
6074.0,1.16,0.02
5477.0,0.840608,-0.02
5511.0,0.886,-0.162
6038.0,1.088,-0.24
6003.0,1.78,0.05
5716.0,1.28,-0.378
6074.0,0.97,-0.02
6078.0,1.189,-0.16
5555.0,1.626,-0.02
5757.0,1.1,0.28
5503.0,0.95,0.07
4935.0,0.685,-0.42
5788.0,1.31,-0.02
6215.0,0.957,-0.3
6299.0,1.167,0.21
5775.0,1.031,-0.04
4120.0,0.68,0.24
5048.0,0.771,-0.02
4375.0,0.621,-0.02
5763.0,0.99,0.23
5615.0,0.92,-0.02
5225.0,0.827,0.14
3709.0,0.469,0.0
6353.0,2.867,-0.1
5220.0,0.828,-0.02
5759.0,2.127,0.3
5300.0,0.81,-0.1
5191.0,1.00936,-0.02
5970.0,0.908,-0.18
5590.0,0.977,0.014
5977.0,0.801,-0.56
4752.0,0.758,0.019
3439.0,0.420028,-0.02
4988.0,0.686,-0.02
5797.0,1.03,-0.02
5929.0,1.03,-0.02
6120.0,1.446,0.0
5133.0,0.744,-0.02
5846.0,1.419,-0.12
6046.0,1.007,0.07
5743.0,1.21,0.42
5680.0,1.103,0.12
5417.0,0.79,-0.32
3547.0,0.42,-0.02
4799.0,0.668753,-0.34
5636.0,0.963,-0.25
5688.0,0.998,0.42
5685.0,0.893,-0.06
4027.0,0.57,-0.12
5271.0,0.838,0.14
6063.0,1.012,0.07
4725.0,0.687,-0.02
5265.0,1.09,-0.02
5776.0,0.726,-0.72
5744.0,0.901705,-0.14
5500.0,1.238,0.14
6092.0,0.998,-0.06
6278.0,1.05,-0.02
6277.0,1.378,-0.06
5840.0,0.97,-0.02
5376.0,0.806,-0.02
5224.0,0.726,-0.11
4965.0,0.784109,-0.02
4476.0,0.69,-0.02
3328.0,0.265,-0.24
3690.0,0.578,-0.02
5933.0,1.843,0.11
