pl_rade,st_teff,st_rad,st_met,st_age,is_gas_giant
4.79,3540.0,0.862,0.01,0.019,0
3.95677019,3678.0,0.744,0.23,0.0201,0
2.52202066,3678.0,0.744,0.23,0.0201,0
2.79,3540.0,0.862,0.01,0.019,0
2.23,5766.0,0.928,-0.15,3.34,0
21.59,6935.0,2.35,-0.34,2.24,1
12.44196858,3406.0,0.388,0.0,0.475,1
12.44196858,3406.0,0.388,0.0,0.475,1
17.385159,5950.0,1.131,-0.3,7.8,1
19.223435,6298.0,1.23,0.06,1.6,1
10.547669,5075.0,0.743,0.26,0.1,1
10.87273,5075.0,0.79,0.26,3.0,1
10.87,5075.0,0.79,0.26,3.0,1
15.984034,6440.0,1.374,-0.03,2.0,1
16.03,6440.0,1.37,-0.03,2.0,1
16.02887,6440.0,1.37,-0.03,2.0,1
15.13215,5675.0,1.046,0.16,5.8,1
16.14,5675.0,1.116,0.16,6.3,1
16.14096,5675.0,1.116,0.16,6.3,1
14.033668,5945.0,1.274,0.01,5.8,1
9.919965,5945.0,1.01,0.01,1.6,1
9.92,5945.0,1.01,0.01,1.635,1
12.21781,6040.0,1.21,0.05,4.2,1
12.22,6035.0,1.21,0.05,4.2,1
11.410762,6035.0,1.19,0.05,3.7,1
13.11453,5650.0,1.19,0.19,6.7,1
13.11,5650.0,1.19,0.19,6.73,1
11.43,5740.0,1.59,0.0,10.7,1
11.287463,5740.0,1.62,0.0,8.0,1
11.43318,5740.0,1.59,0.0,10.7,1
14.68379,5440.0,1.0,-0.1,0.6,1
14.45961,6090.0,1.65,-0.02,5.0,1
14.46,6090.0,1.65,-0.02,5.0,1
13.33871,6090.0,1.576,-0.02,4.9,1
16.36514,5598.0,0.901,0.04,1.2,1
16.47723,5696.0,0.907,0.03,0.6,1
16.432394,5625.0,0.902,0.0,2.7,1
9.41556,5880.0,1.02,0.14,0.1,1
9.42,5880.0,1.02,0.14,0.1,1
13.00244,5880.0,1.34,0.14,5.9,1
14.5717,6200.0,1.95,0.0,4.1,1
14.5717,6200.0,1.95,0.0,4.1,1
4.88,5939.0,1.136,0.17,3.3,0
11.77,5900.0,1.61,0.05,7.2,1
13.22662,5900.0,1.74,0.05,5.4,1
11.76945,5900.0,1.61,0.05,7.2,1
3.7,4950.0,0.86,0.3,11.0,0
5.0,4950.0,0.86,0.3,11.0,0
12.10572,6040.0,1.19,-0.01,4.5,1
12.11,6040.0,1.19,-0.01,4.5,1
14.12334,5590.0,1.79,0.01,8.6,1
14.12,5590.0,1.79,0.01,8.6,1
11.287463,5900.0,1.08,-0.1,4.2,1
11.287,5900.0,1.08,-0.1,4.21,1
10.704595,5150.0,1.78,0.15,12.0,1
10.704595,5150.0,1.78,0.15,12.0,1
10.0881,5260.0,0.9,0.2,4.0,1
10.0881,5260.0,0.9,0.2,4.5,1
11.32109,6740.0,1.56,-0.02,2.2,1
11.623733,6740.0,1.575,-0.02,1.5,1
11.309881,5650.0,0.91,0.02,3.0,1
16.36514,5700.0,2.15,0.0,4.7,1
18.83108758,6390.0,1.65,-0.5,6.1,1
15.80466279,6730.0,1.52,-0.1,2.1,1
13.33871,6190.0,1.17,0.05,1.0,1
13.00244,6190.0,1.1475,0.05,0.8,1
15.558092,6100.0,1.186,-0.25,6.9,1
13.249038,6100.0,1.0516,-0.25,3.9,1
15.558,6100.0,1.186,-0.25,6.9,1
13.282665,6090.0,1.043,-0.2,2.5,1
13.069694,6090.0,1.025,-0.2,2.5,1
1.68,5275.0,0.87,0.03,1.75,0
1.585,5259.0,0.82,0.138,1.32,0
6.38913,5080.0,0.77,0.3,3.0,1
6.39,5080.0,0.77,0.3,3.0,1
11.948794,5625.0,0.96,-0.01,6.0,1
11.948794,5625.0,0.96,-0.01,6.0,1
5.63,5542.0,0.872,-0.08,0.04,0
5.7,5428.0,0.964,0.0,0.045,0
1.565,5679.0,0.98,0.01,6.0,0
2.2,3880.0,0.59,0.14,0.79,0
6.12,6025.0,1.38,0.1,3.99,1
1.46,5590.0,0.83,0.025,5.0,0
1.725,5532.0,0.988,0.11,7.5,0
2.836,5532.0,0.988,0.11,7.5,0
2.53,5590.0,0.83,0.025,5.0,0
2.332,5868.0,0.999,-0.12,4.9,0
11.780659,6202.0,1.586,0.141,3.02,1
1.95,5430.0,1.71,0.2,9.0,0
3.67,5430.0,1.71,0.2,9.0,0
3.94,5430.0,1.71,0.2,9.0,0
2.025,3348.0,0.3073,0.04,9.9,0
1.16,3270.0,0.207,-0.12,5.0,0
2.61,4640.0,0.695,0.003,3.8,0
3.88,3652.0,0.48,0.18,2.5,0
3.88,3652.0,0.48,0.2,1.65,0
1.09,3384.0,0.32,-0.02,7.1,0
2.63,4120.0,0.68,0.24,12.4,0
8.4,4120.0,0.68,0.24,12.4,1
4.2224,3350.0,0.464,-0.03,6.0,0
1.343,3291.0,0.339,-0.15,4.0,0
1.331,3600.0,0.4144,-0.28,5.0,0
1.577,4305.0,0.602,-0.26,10.0,0
1.44,4236.0,0.58,-0.29,5.465,0
1.577,4340.0,0.602,-0.26,10.0,0
1.241,4305.0,0.602,-0.26,10.0,0
1.13,4236.0,0.58,-0.29,5.465,0
1.241,4340.0,0.602,-0.26,10.0,0
1.89,4236.0,0.58,-0.29,5.465,0
2.022,4305.0,0.602,-0.26,10.0,0
2.022,4340.0,0.602,-0.26,10.0,0
1.98,4236.0,0.58,-0.29,5.465,0
16.47720163,7000.0,1.56,0.35,0.27,1
0.93,3328.0,0.265,-0.24,7.0,0
0.9,3253.0,0.269,-0.29,7.0,0
13.921578,5975.0,1.135,0.13,2.7,1
15.24424,5975.0,1.15,0.13,3.6,1
13.921578,5980.0,1.135,0.13,2.7,1
13.641353,5975.0,1.112,0.13,2.1,1
4.71,4653.0,0.74,0.34,2.69,0
4.36,4780.0,0.683,0.31,6.5,0
4.73,4780.0,0.75,0.31,6.5,0
4.901,4780.0,0.76,0.31,6.5,0
10.301071,4665.0,0.679,-0.2,7.2,1
10.749,4650.0,0.701,-0.29,2.5,1
10.749431,4650.0,0.701,-0.29,2.5,1
14.358729,5653.0,1.56,0.41,5.0,1
14.359,5653.0,1.56,0.41,5.0,1
12.89,6600.0,1.468,0.11,1.3,1
13.663771,6600.0,1.591,0.11,1.5,1
13.4508,6583.0,1.53,0.08,1.6,1
12.89035,6600.0,1.468,0.11,1.3,1
12.016,5568.0,1.08,0.22,6.8,1
12.016048,5568.0,1.08,0.22,6.5,1
14.448,6158.0,1.237,0.17,2.0,1
14.448401,6158.0,1.237,0.17,2.0,1
13.33868703,6140.0,1.158,0.12,0.5,1
11.321,5246.0,0.838,0.0,7.8,1
11.65733993,5332.0,0.84,0.05,7.0,1
11.37711541,5350.0,0.86,0.02,6.5,1
11.32109,5246.0,0.837,0.0,7.8,1
11.152955,4803.0,0.749,0.1,12.4,1
11.153,4803.0,0.749,0.1,12.4,1
11.29865255,4962.0,0.773,0.166,7.2,1
12.689,4990.0,0.82,0.23,8.8,1
12.688588,4990.0,0.82,0.23,8.8,1
12.968813,6290.0,1.64,0.14,2.6,1
